Entidad federativa;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Jalisco;107;114;118;152;194;219;208;217;227;183
Ciudad de Mexico;387;338;367;308;333;345;295;220;196;218
Nuevo Leon;136;141;124;87;78;100;82;70;100;130
Guanajuato;42;55;55;71;78;67;43;69;94;33
Estado de Mexico;70;89;130;94;80;85;62;74;61;53
Puebla;70;75;80;84;90;119;71;80;58;61
Sinaloa;23;17;28;27;26;51;51;54;41;15
Hidalgo;20;30;37;14;29;31;47;19;36;33
Queretaro;48;46;55;57;62;34;45;42;35;25
Chihuahua;28;25;42;42;32;66;42;19;33;28
Coahuila;33;40;38;49;51;77;88;64;29;35
Tabasco;5;8;18;16;16;8;19;5;24;11
San Luis Potosí;6;8;8;21;9;13;23;23;20;15
Tamaulipas;32;25;23;23;26;45;18;7;19;4
Yucatan;27;20;26;27;24;18;21;10;16;17
Veracruz;14;15;22;34;20;49;15;21;16;10
Sonora;22;52;32;28;41;35;36;21;14;11
Baja California ;21;17;12;20;25;28;27;24;13;25
Morelos;42;35;41;36;32;40;27;14;12;18
Michoacan;16;13;21;12;11;16;16;10;11;20
Aguascalientes;10;11;15;21;8;10;8;8;10;6
Oaxaca;7;6;10;15;15;18;8;8;9;3
Quintana Roo;8;7;11;5;11;12;3;1;8;7
Nayarit;1;1;3;1;3;4;4;4;6;3
Baja California Sur;-;4;5;2;6;5;7;3;5;7
Durango;3;5;8;9;6;18;6;4;5;3
Tlaxcala;7;5;2;3;3;4;2;7;5;-
Mexicanos que radican en el extranjero;5;9;5;3;7;-;1;3;5;2
Campeche;1;4;1;10;3;8;9;16;3;-
Chiapas;8;14;8;23;4;20;9;2;2;3
Guerrero;1;2;3;2;1;3;5;2;2;2
Colima;7;9;11;11;5;4;4;4;1;2
Zacatecas;4;4;5;3;5;3;3;7;1;-
